
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        2
-0.240404 -1.17385  2 
-0.243301 -1.1751  2 
-0.268687 -1.18555  2 
-0.270846 -1.18635  2 
-0.29697 -1.19548  2 
-0.303939 -1.19759  2 
-0.325253 -1.2037  2 
-0.346946 -1.20884  2 
-0.353535 -1.21031  2 
-0.381818 -1.21516  2 
-0.410101 -1.21841  2 
-0.438384 -1.21999  2 
-0.466667 -1.21982  2 
-0.494949 -1.21787  2 
-0.523232 -1.21414  2 

# Contour 1, label: 
 0.862626 -0.500899  2 
 0.834343 -0.508085  2 
 0.819161 -0.511647  2 
 0.806061 -0.514802  2 
 0.777778 -0.521142  2 
 0.76942 -0.522892  2 
 0.749495 -0.527178  2 
 0.721212 -0.5331  2 
 0.716068 -0.534137  2 
 0.692929 -0.538932  2 
 0.664646 -0.544912  2 
 0.662415 -0.545382  2 
 0.636364 -0.551036  2 
 0.612078 -0.556627  2 
 0.608081 -0.557575  2 
 0.579798 -0.564553  2 
 0.567273 -0.567871  2 
 0.551515 -0.572185  2 
 0.528169 -0.579116  2 
 0.523232 -0.580633  2 
 0.494949 -0.590025  2 
 0.494008 -0.590361  2 
 0.466667 -0.600506  2 
 0.463933 -0.601606  2 
 0.438384 -0.61229  2 
 0.437141 -0.612851  2 
 0.413032 -0.624096  2 
 0.410101 -0.625515  2 
 0.391115 -0.635341  2 
 0.381818 -0.640358  2 
 0.370981 -0.646586  2 
 0.353535 -0.657059  2 
 0.352323 -0.657831  2 
 0.334975 -0.669076  2 
 0.325253 -0.675645  2 
 0.318681 -0.680321  2 
 0.303315 -0.691566  2 
 0.29697 -0.696339  2 
 0.288749 -0.702811  2 
 0.274872 -0.714056  2 
 0.268687 -0.719182  2 
 0.261597 -0.725301  2 
 0.248847 -0.736546  2 
 0.240404 -0.744184  2 
 0.236557 -0.747791  2 
 0.22466 -0.759036  2 
 0.213128 -0.770281  2 
 0.212121 -0.77126  2 
 0.201874 -0.781526  2 
 0.190898 -0.792771  2 
 0.183838 -0.800092  2 
 0.18015 -0.804016  2 
 0.169569 -0.815261  2 
 0.15918 -0.826506  2 
 0.155556 -0.830416  2 
 0.148892 -0.837751  2 
 0.138706 -0.848996  2 
 0.12864 -0.860241  2 
 0.127273 -0.861745  2 
 0.118558 -0.871486  2 
 0.108532 -0.882731  2 
 0.0989899 -0.893484  2 
 0.0985588 -0.893976  2 
 0.0884683 -0.905221  2 
 0.0783964 -0.916466  2 
 0.0707071 -0.925002  2 
 0.0682831 -0.927711  2 
 0.0580031 -0.938956  2 
 0.0476904 -0.950201  2 
 0.0424242 -0.955849  2 
 0.0372146 -0.961446  2 
 0.0265489 -0.972691  2 
 0.0158009 -0.983936  2 
 0.0141414 -0.985623  2 
 0.00470908 -0.995181  2 
-0.00654843 -1.00643  2 
-0.0141414 -1.01387  2 
-0.0180568 -1.01767  2 
-0.0299598 -1.02892  2 
-0.0420385 -1.04016  2 
-0.0424242 -1.04051  2 
-0.054734 -1.05141  2 
-0.0676672 -1.06265  2 
-0.0707071 -1.06521  2 
-0.0812555 -1.0739  2 
-0.0952473 -1.08514  2 
-0.0989899 -1.08805  2 
-0.110034 -1.09639  2 
-0.125343 -1.10763  2 
-0.127273 -1.10899  2 
-0.141771 -1.11888  2 
-0.155556 -1.12798  2 
-0.158937 -1.13012  2 
-0.177475 -1.14137  2 
-0.183838 -1.14508  2 
-0.197501 -1.15261  2 
-0.212121 -1.16035  2 
-0.219225 -1.16386  2 
-0.240404 -1.17385  2 

# Contour 2, label: 
 1.17374  0.349456  2 
 1.18074  0.342972  2 
 1.19288  0.331727  2 
 1.20202  0.323288  2 
 1.20466  0.320482  2 
 1.21509  0.309237  2 
 1.22553  0.297992  2 
 1.2303  0.292787  2 
 1.23511  0.286747  2 
 1.24391  0.275502  2 
 1.25262  0.264257  2 
 1.25859  0.256409  2 
 1.26083  0.253012  2 
 1.26804  0.241767  2 
 1.27509  0.230522  2 
 1.28198  0.219277  2 
 1.28687  0.211031  2 
 1.28841  0.208032  2 
 1.29395  0.196787  2 
 1.29928  0.185542  2 
 1.30439  0.174297  2 
 1.30927  0.163052  2 
 1.31389  0.151807  2 
 1.31515  0.148535  2 
 1.31781  0.140562  2 
 1.32131  0.129317  2 
 1.32455  0.118072  2 
 1.32753  0.106827  2 
 1.33024  0.0955823  2 
 1.33266  0.0843373  2 
 1.33481  0.0730924  2 
 1.33665  0.0618474  2 
 1.3382  0.0506024  2 
 1.33945  0.0393574  2 
 1.34038  0.0281124  2 
 1.34101  0.0168675  2 
 1.34132  0.00562249  2 
 1.34132 -0.00562249  2 
 1.34101 -0.0168675  2 
 1.34038 -0.0281124  2 
 1.33945 -0.0393574  2 
 1.3382 -0.0506024  2 
 1.33665 -0.0618474  2 
 1.33481 -0.0730924  2 
 1.33266 -0.0843373  2 
 1.33024 -0.0955823  2 
 1.32753 -0.106827  2 
 1.32455 -0.118072  2 
 1.32131 -0.129317  2 
 1.31781 -0.140562  2 
 1.31515 -0.148535  2 
 1.31389 -0.151807  2 
 1.30927 -0.163052  2 
 1.30439 -0.174297  2 
 1.29928 -0.185542  2 
 1.29395 -0.196787  2 
 1.28841 -0.208032  2 
